"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"CLAUDIO NASCIMENTO";"CLAUDINHO DO SOM";"Deputado Federal";2755;"DC";"DC";"Aguardando julgamento";"Concorrendo"
"CLAUDIMAR LOURENÇO DA ROCHA";"CLAUDINHO PÉ NO CHÃO";"Deputado Federal";1394;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"CLÁUDIO VASQUE CHUMBINHO DOS SANTOS";"CLAUDIO CHUMBINHO";"Deputado Federal";4441;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"CLAUDIO LUIZ HENRIQUES";"CLAUDIO HENRIQUES";"Deputado Federal";9045;"PROS";"PROS";"Renúncia";"Concorrendo"
"CLAUDIO JOSE DE OLIVEIRA";"CLAUDIO VIGILANTE";"Deputado Federal";1250;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"CLEBIO LOPES PEREIRA";"CLÉBIO LOPES JACARÉ";"Deputado Federal";4499;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"CLEIDE SOUZA FREIRE VICTORIO";"CLEIDE GARI";"Deputado Federal";2398;"CIDADANIA";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"CLEMELSON JORGE DA SILVA";"CLEMELSON DA SAÚDE";"Deputado Federal";7016;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"CLÓVIS JOSÉ DOS PASSOS FILHO";"CLOVINHO";"Deputado Federal";5188;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"CLEBER RIBEIRO AFONSO";"COMANDANTE RIBEIRO AFONSO";"Deputado Federal";1920;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"MARTEM SARMENTO MATOSO";"COMANDANTE SARMENTO";"Deputado Federal";1082;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"SERGIO RICARDO FERREIRA";"COMANDANTE SERGIO";"Deputado Federal";1154;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"JOÃO JACQUES SOARES BUSNELLO";"CORONEL BUSNELLO";"Deputado Federal";5554;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"CLAUDIA DE MELO LOVAIN";"CORONEL CLAUDIA LOVAIN";"Deputado Federal";5530;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"JOSÉ GUILHERME DE MORAES NETO";"CORONEL GUILHERME";"Deputado Federal";5170;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"REGIS AYRTON LERMEN";"CORONEL LERMEN";"Deputado Federal";2882;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"MARCIO ALEXANDRO DE SOUZA";"CORONEL MARCIO DO EXERCITO";"Deputado Federal";2040;"PSC";"PSC";"Aguardando julgamento";"Concorrendo"
"MARCO ANTONIO SANTOS DE MELO";"CORONEL MELO";"Deputado Federal";4447;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"PAULO AFONSO CUNHA";"CORONEL PAULO AFONSO";"Deputado Federal";1290;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"PERRY SOUZA AZEREDO";"CORONEL PERRY SOUZA";"Deputado Federal";3366;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"ADALBERTO DE SOUZA RABELO";"CORONEL RABELO";"Deputado Federal";1490;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"ROBERTO ROBADEY COSTA JUNIOR";"CORONEL ROBADEY";"Deputado Federal";1193;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"WILLIAM OLINDA SODRÉ";"CORONEL WILLIAM SODRÉ";"Deputado Federal";1051;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"COSME DE JESUS SIQUEIRA";"COSME DA SAÚDE";"Deputado Federal";1416;"PTB";"PTB";"Renúncia";"Concorrendo"
"COSME DA SILVEIRA LOURENÇO";"COSME DA SILVEIRA";"Deputado Federal";2774;"DC";"DC";"Aguardando julgamento";"Concorrendo"
"CRISTIANE DOS SANTOS BATISTA FERNANDES";"CRIS FERNANDES";"Deputado Federal";4555;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"CRISTIANA CARVALHO MOTA";"CRIS MOTA";"Deputado Federal";7060;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"CRISTIANE FLAVIA FRANCO";"CRISTIANE FRANCO";"Deputado Federal";3633;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"CRISTIANE ANDRADE VIANA";"CRISTIANE HUBACK";"Deputado Federal";1043;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"CRISTIANE PEREIRA DE SOUZA";"CRISTIANE PEREIRA";"Deputado Federal";5516;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"CRISTIANO JOSÉ RODRIGUES DE SOUZA";"CRISTIANO";"Deputado Federal";7751;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"CRISTIANO GAMA DE ALMEIDA";"CRISTIANO ALMEIDA";"Deputado Federal";7788;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"CRISTIANO GONÇALVES";"CRISTIANO GONÇALVES";"Deputado Federal";2810;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"CRISTIANO LINDEMBERG MOREIRA DE MORAGAS";"CRISTIANO MORAGAS";"Deputado Federal";2001;"PSC";"PSC";"Aguardando julgamento";"Concorrendo"
"MARIA CRISTINA MEL DE ALMEIDA COSTA";"CRISTINA MEL";"Deputado Federal";4443;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"CRISTÓVÃO DOS SANTOS MOREIRA";"CRISTÓVÃO";"Deputado Federal";5151;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"JOSE RIBAMAR CUTRIM GOMES";"CUTRIM";"Deputado Federal";2817;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"DANIELLE DYTZ DA CUNHA";"DANI CUNHA";"Deputado Federal";4477;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"DANIELA MOTÉ DE SOUZA CARNEIRO";"DANIELA DO WAGUINHO";"Deputado Federal";4412;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"DANIEL FERNANDES DE OLIVEIRA";"DANIEL FERNANDES";"Deputado Federal";2888;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"DANIELLE DA SILVA PASSOS CARVALHO";"DANIELLE CARVALHO";"Deputado Federal";2809;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"DANIELLE LIMA SANTANA";"DANIELLE SANTANA";"Deputado Federal";2334;"CIDADANIA";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"DANIEL DA SILVA MOFACTO";"DANIEL MOFACTO";"Deputado Federal";1402;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"DANIEL RICARDO SORANZ PINTO";"DANIEL SORANZ";"Deputado Federal";5588;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"DANIELA DALILA IBARRA MAIA DE ANDRADE MACIEL";"DANI MAIA";"Deputado Federal";4554;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"DANIELLE ANDRADE FERNANDES";"DANNY BABALU";"Deputado Federal";1282;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"DARIO JOSE DA SILVA FERREIRA";"DARIO FERREIRA";"Deputado Federal";2860;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"DAVID MICHAEL DOS SANTOS MIRANDA";"DAVID MIRANDA";"Deputado Federal";1212;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"DAVID MUNIZ DINIZ";"DAVID MUNIZ DINIZ";"Deputado Federal";3326;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"DAVI DOS SANTOS SOUZA";"DAVI SOUZA";"Deputado Federal";1202;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"DAYVIANE FERNANDES GARCIA";"DAYVIANE GARCIA";"Deputado Federal";3030;"NOVO";"NOVO";"Aguardando julgamento";"Concorrendo"
"DEBORAH FARAH";"DEBORAH FARAH";"Deputado Federal";5102;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"DÉBORA CLAUDIA SANTOS MONTEIRO";"DÉBORA MONTEIRO";"Deputado Federal";2804;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"JORGE HENRIQUE DA COSTA NUNES";"DEDINHO";"Deputado Federal";5541;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"HILDEBRANDO GONÇALVES RODRIGUES";"DEL";"Deputado Federal";5565;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"DELANEY MACHADO DA CUNHA";"DELANEY";"Deputado Federal";2720;"DC";"DC";"Aguardando julgamento";"Concorrendo"
"PAULA MARY REIS GONCALVES";"DELEGADA PAULA MARY";"Deputado Federal";4411;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"ALAN TURNOWSKI";"DELEGADO ALAN TURNOWSKI";"Deputado Federal";2227;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"ALEXANDRE SILVA SARAIVA";"DELEGADO ALEXANDRE SARAIVA";"Deputado Federal";4007;"PSB";"PSB";"Aguardando julgamento";"Concorrendo"
"ANTONIO DA LUZ FURTADO";"DELEGADO ANTÔNIO FURTADO";"Deputado Federal";4493;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"FERNANDO DA SILVA VELOSO";"DELEGADO FERNANDO VELOSO";"Deputado Federal";2230;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"MARCUS VINICIUS DE ALMEIDA BRAGA";"DELEGADO MARCUS VINICIUS";"Deputado Federal";9010;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"ALEXANDRE RAMAGEM RODRIGUES";"DELEGADO RAMAGEM";"Deputado Federal";2217;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"WANDERLEY ALVES DE OLIVEIRA";"DELEY";"Deputado Federal";5599;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"ADENAIR MARIA DE MOURA TAYAR";"DENA MOURA";"Deputado Federal";3538;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"DENILSON PRATA DA SILVA";"DENILSON PRATA";"Deputado Federal";5055;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Aguardando julgamento";"Concorrendo"
"DENILSON DE SOUZA";"DENILSON SOUZA";"Deputado Federal";1368;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"DENIS DE PAULA FERREIRA";"DENIS DE PAULA";"Deputado Federal";2877;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"DENIS DE SOUSA MOURA";"DENIS MOURA";"Deputado Federal";7072;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"DAVID GOMES LOBO DOS SANTOS";"DERÊ";"Deputado Federal";5007;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Aguardando julgamento";"Concorrendo"
"CLAUDIO FELIPE DE SÁ";"DE SÁ";"Deputado Federal";2758;"DC";"DC";"Aguardando julgamento";"Concorrendo"
"DEULER DA ROCHA GONÇALVES JUNIOR";"DEULER";"Deputado Federal";1511;"MDB";"MDB";"Aguardando julgamento";"Concorrendo"
"DEYSON BAPTISTA THOMÉ";"DEYSON THOMÉ";"Deputado Federal";1151;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"JORGE MOREIRA THEODORO";"DICA";"Deputado Federal";4419;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"DIMAS DE PAIVA GADELHA JUNIOR";"DIMAS GADELHA";"Deputado Federal";1301;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"ROBERTO LINHARES DA SILVA";"DINDINHO";"Deputado Federal";2811;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"GLEISON DE SOUZA TRINDADE";"DINHO TRINDADE";"Deputado Federal";7077;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"ALEMAR GOIS SERRA";"DOM SERRA";"Deputado Federal";2707;"DC";"DC";"Aguardando julgamento";"Concorrendo"
"LINCOLN DONATO NUNES";"DONATO";"Deputado Federal";1999;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"EDIANNE PAULO DE ABREU";"DOUTORA EDIANNE ABREU";"Deputado Federal";2226;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"MARIA LUCIA COSTA SILVA";"DOUTORA LUCIA COSTA";"Deputado Federal";1370;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"DANILO CASSANE SOARES";"DOUTOR DANILO ";"Deputado Federal";1133;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"JOSE APRIGIO DA SILVA";"DOUTOR KLEBINHO";"Deputado Federal";1950;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"LUIZ ANTONIO DE SOUZA TEIXEIRA JUNIOR";"DOUTOR LUIZINHO";"Deputado Federal";1177;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"ALEXANDRA OLIVEIRA MENEZES";"DRA. ALEXANDRA MENEZES";"Deputado Federal";1118;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"ALZIRA SEBASTINA MARQUES REGIS";"DRA. ALZIRA MARQUES";"Deputado Federal";3553;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"AURORA DA SILVA RIBEIRO";"DRA. AURORA";"Deputado Federal";1427;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"FLÁVIA PINHEIRO FRÓES";"DRA FLÁVIA FRÓES";"Deputado Federal";4413;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"ALCIO PEREIRA";"DR. ALCIO PEREIRA";"Deputado Federal";1017;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"LETÍCIA ALVES PEREIRA ENTRAGO";"DRA LETÍCIA COSTA";"Deputado Federal";2200;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"LUCIANA DE OLIVEIRA GOMES";"DRA LUCIANA OLIVEIRA";"Deputado Federal";7747;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"MALU MOREIRA ALCANTARA";"DRA MALU ALCANTARA";"Deputado Federal";9002;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"MARTHA DOS SANTOS CARDOSO";"DRA. MARTHA CARDOSO";"Deputado Federal";1044;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"ANDRE LUIS DA SILVA CAMPISTA";"DR ANDRE CAMPISTA";"Deputado Federal";1914;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"ANGELA MARIA TENORIO DE ALBUQUERQUE";"DR ANGELA TENORIO";"Deputado Federal";1953;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"ANTÔNIO FERNANDES ANTUNES";"DR ANTÔNIO ANTUNES";"Deputado Federal";2855;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"ROSELENE MARTINS CARNEIRO LEITE";"DRA. ROSELENE MARTINS";"Deputado Federal";1465;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"SARITA ALVES FERREIRA PAIVA";"DRA SARITA PAIVA";"Deputado Federal";2866;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"AUGUSTO CÉSAR SILVA SORAGE";"DR AUGUSTO CESAR";"Deputado Federal";2322;"CIDADANIA";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"BRUNO CHAGAS DE BRITO DA SILVA";"DR BRUNO CHAGAS";"Deputado Federal";3333;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"CAIO FELIPE DA SILVA REIS MACHADO";"DR CAIO REIS";"Deputado Federal";7066;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"EDUARDO PACHECO TERRA";"DR EDUARDO TERRA";"Deputado Federal";2873;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"ELIMAR MÁXIMO DAMASCENO";"DR. ELIMAR";"Deputado Federal";1056;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"LUIZ ELPIDIO MARTINS MANHAES";"DR ELPIDIO MANHAES";"Deputado Federal";3565;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"EMERSON ALBERTO FERREIRA";"DR. EMERSON ALBERTO";"Deputado Federal";7076;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"FLAVIO CAMPOS FERREIRA";"DR FLÁVIO";"Deputado Federal";2245;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"FLÁVIO DOS SANTOS ANTUNES";"DR FLÁVIO ANTUNES";"Deputado Federal";2320;"CIDADANIA";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"ANDRE LUIZ SILVA GOMES";"DR. GOMES ";"Deputado Federal";3500;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"GUSTAVO MODESTO SCHMIDT";"DR GUSTAVO DO SANEAMENTO";"Deputado Federal";2828;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"JORGE HENRIQUES PIRES PAES";"DR. HENRIQUE PAES";"Deputado Federal";4522;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"JOÃO CARLOS LUIZ VAZ MARQUES LEZIRIA";"DR. JOÃO VAZ";"Deputado Federal";1081;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"JORGE SANTANA QUEIROZ";"DR J.SANTANA";"Deputado Federal";1172;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"LAERCIO DO CARMO";"DR LAÉRCIO DO CARMO";"Deputado Federal";2816;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"ANTONIO PEREIRA DA SILVA LOBÃO FILHO";"DR LOBÃO";"Deputado Federal";1344;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"MARCIO LOPES DIAS";"DR MARCIO DIAS";"Deputado Federal";7028;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"MÁRCIO VILARÓ SOUTO";"DR MÁRCIO VILARÓ";"Deputado Federal";2742;"DC";"DC";"Aguardando julgamento";"Concorrendo"
"PAULO MOREIRA DE CARVALHO";"DR PAULO CARVALHO";"Deputado Federal";5114;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"PAULO CÉSAR DA GUIA ALMEIDA";"DR PAULO CÉSAR";"Deputado Federal";5569;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"PAULO RODRIGUES ALVES DA SILVA";"DR PAULO RODRIGUES";"Deputado Federal";1930;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"ROBSON LUIZ SANTANA VIEIRA";"DR ROBSON SANTANA";"Deputado Federal";5167;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"RODRIGO DOS SANTOS TEIXEIRA";"DR RODRIGO TEIXEIRA";"Deputado Federal";3580;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"SADINOEL OLIVEIRA GOMES SOUZA";"DR SADINOEL";"Deputado Federal";5567;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"WAGNER GAMA BAPTISTA";"DR WAGNER GAMA";"Deputado Federal";7085;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"WELINGTON CARLOS DE AGUIAR";"DR WELINGTON AGUIAR";"Deputado Federal";2077;"PSC";"PSC";"Aguardando julgamento";"Concorrendo"
"WELLINGTON BRUNO SANTOS";"DR WELLINGTON BRUNO";"Deputado Federal";2301;"CIDADANIA";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"VIVIAN ALENCAR DOS SANTOS FERREIRA";"DRª VIVIAN ALENCAR";"Deputado Federal";5597;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"MARIA EDUARDA MELLO RODRIGUES DE CARVALHO";"DUDA CARVALHO";"Deputado Federal";4500;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"EDUARDO FRANCELINO DA SILVA NETO";"DUDU DOIS D";"Deputado Federal";7790;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"CARLOS EDUARDO DO NASCIMENTO SOARES";"DUDU SOARES";"Deputado Federal";7730;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"DRAULO VALENTE GOMES";"DUUGOMES";"Deputado Federal";4544;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"EDIMILSON RAMOS MIGOWSKI DE CARVALHO";"EDIMILSON MIGOWSKI";"Deputado Federal";2224;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"EDNARDO DAVILA MELLO RAPOSO";"ED RAPOSO";"Deputado Federal";1461;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"EDSON SANTOS SILVA";"EDSON DO PEIXE";"Deputado Federal";2312;"CIDADANIA";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"EDSON SANTOS DE SOUZA";"EDSON SANTOS";"Deputado Federal";4077;"PSB";"PSB";"Aguardando julgamento";"Concorrendo"
"EDUARDO RIBEIRO DA SILVA";"EDUARDO BADU";"Deputado Federal";1007;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"EDUARDO FERREIRA DE OLIVEIRA";"EDUARDO DO BLOG";"Deputado Federal";1088;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"CARLOS EDUARDO NEVES DE JESUS";"EDUARDO NEVES";"Deputado Federal";3551;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"EDUARDO TORRES DE LEMOS";"EDUARDO TORRES";"Deputado Federal";1016;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"ELAINE MOURA";"ELAINE MOURA";"Deputado Federal";2235;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"ELAINE SANTOS DE OLIVEIRA";"ELAINE OLIVEIRA";"Deputado Federal";1251;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"ELBA MARIA BARCELLOS BASTOS";"ELBA BARCELLOS";"Deputado Federal";1525;"MDB";"MDB";"Aguardando julgamento";"Concorrendo"
"ELIANE DE CASTRO MORAES";"ELIANE DA SAÚDE";"Deputado Federal";1166;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"ELIANE VIANA JORDAO FERNANDES";"ELIANE JORDÃO ""MÃE DA MANU""";"Deputado Federal";1078;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"ELIANE DE OLIVEIRA PIRES";"ELIANE PIRES";"Deputado Federal";1232;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"ELIEL BEZERRA DE LIMA JUNIOR";"ELIEL JR OCUPA BAIXADA";"Deputado Federal";5060;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Aguardando julgamento";"Concorrendo"
"ELIEL DE SOUZA DO ROSÁRIO";"ELIEL TREZEDECK";"Deputado Federal";2728;"DC";"DC";"Aguardando julgamento";"Concorrendo"
"ELISABETTA ZOTTOLO";"ELISABETTA ZOTTOLO";"Deputado Federal";4005;"PSB";"PSB";"Aguardando julgamento";"Concorrendo"
"ELISÂNGELA DE FREITAS";"ELISÂNGELA FREITAS";"Deputado Federal";2844;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"ELISÂNGELA DA COSTA SILVA";"ELISA SANCHES";"Deputado Federal";5169;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"ELIZABETH LILIAN FERRAZ VITORINO";"ELIZABETH FERRAZ";"Deputado Federal";2274;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"ELIZANGELA VIEIRA DA SILVA LOBO";"ELIZANGELA LOBO";"Deputado Federal";1905;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"ELIZANGELA SILVA DO NASCIMENTO";"ELIZ NASCIMENTO";"Deputado Federal";7044;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"ELIANE PEREIRA DE SOUZA";"ELYANE SOUZA";"Deputado Federal";4553;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"EMANUEL MARQUES CORRÊA";"EMANUEL MARQUES";"Deputado Federal";2351;"CIDADANIA";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"EMÍLIA RACHEL BENDELAK AMOÊDO";"EMÍLIA AMOÊDO";"Deputado Federal";1305;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"KAREN VALLADARES DE FARIAS";"ENFERMEIRA KAREN VALLADARES";"Deputado Federal";5537;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"REJANE DE ALMEIDA";"ENFERMEIRA REJANE";"Deputado Federal";6556;"PC do B";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"MARCOS EPHRAIN DE MARINS";"EPHRAIN MARINS";"Deputado Federal";3020;"NOVO";"NOVO";"Aguardando julgamento";"Concorrendo"
"ERCILIA MARIA SILVEIRA";"ERCILIA SILVEIRA";"Deputado Federal";5121;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"ERICA CRISTINA SANTANA NUNES";"ERICA MADRINHA";"Deputado Federal";7780;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"WELLINGTON MOREIRA DA SILVA";"ERICK VERMELHO";"Deputado Federal";1302;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"ERIKA GAMA ALBUQUERQUE";"ERIKA GAMA";"Deputado Federal";3627;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"ERIKA FABRICIA OLIVEIRA PEIXOTO";"ERIKA PEIXOTO";"Deputado Federal";3331;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"ERIVELTO COSTA FIGUIREDO";"ERIVELTO COSTA";"Deputado Federal";5105;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"ESLEY RODRIGUES DE JESUS TEIXEIRA";"ESLEY RODRIGUES";"Deputado Federal";1217;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"ROSILENE ETIENE MENDONÇA";"ETHIENE";"Deputado Federal";3666;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"EVANDRO DIVINO MACHADO";"EVANDRO MACHADO";"Deputado Federal";4502;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
