"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"EDSON VINICIUS CORREA NASCIMENTO";"VINICIUS DIPLOMATA";"Deputado Federal";3396;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"VINICIUS MEDEIROS FARAH";"VINICIUS FARAH";"Deputado Federal";4415;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"MARCUS VINICIUS SANTOS DA SILVA";"VINNY É NÓS";"Deputado Federal";7702;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"VITORIA DA SILVA ALMEIDA";"VITÓRIA ALMEIDA";"Deputado Federal";9088;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"VIVIANE CARVALHO PETISCO PINHEIRO";"VIVIANE PETISCO";"Deputado Federal";4474;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"WADIH NEMER DAMOUS FILHO";"WADIH DAMOUS";"Deputado Federal";1322;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"WAGNER CARVALHO DE SENA";"WAGNER SENA";"Deputado Federal";1915;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"WALDECK CARNEIRO DA SILVA";"WALDECK CARNEIRO";"Deputado Federal";4040;"PSB";"PSB";"Aguardando julgamento";"Concorrendo"
"WALDIR LUIZ FERRAZ";"WALDIR FERRAZ";"Deputado Federal";2206;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"WALLACE DE ALMEIDA DOS SANTOS";"WALLACE PALA PALA";"Deputado Federal";9013;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"WALMER JORGE MACHADO";"WALMER MACHADO";"Deputado Federal";7770;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"EVANDRO NASCIMENTO DE ABREU";"WANDO NASCIMENTO";"Deputado Federal";3506;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"WASHINGTON LUIZ PINTO MACHADO";"WASHINGTON MACHADO";"Deputado Federal";7750;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"WASHINGTON LUIZ CARDOSO SIQUEIRA";"WASHINGTON QUAQUÁ";"Deputado Federal";1313;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"WASHINGTON LUIZ BERNARDINO DE SOUZA";"WASHINGTON SOUZA";"Deputado Federal";3503;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"WELLINGTON RODRIGUES SOARES";"WELLINGTON RODRIGUES";"Deputado Federal";3588;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"WERNER BENITES SARAIVA DA FONSECA";"WERNER SARAIVA";"Deputado Federal";7027;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"WESLEY DINIZ FURTADO";"WESLEY DINIZ";"Deputado Federal";1303;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"WILIANS BITTENCOURT VALENTE";"WILIANS VALENTE";"Deputado Federal";7020;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
